tratamiento longitud
control 75
control 67
control 70
control 75
control 65
control 71
control 67
control 67
control 76
control 68
glucosa 57
glucosa 58
glucosa 60
glucosa 59
glucosa 62
glucosa 60
glucosa 60
glucosa 57
glucosa 59
glucosa 61
fructosa 58
fructosa 61
fructosa 56
fructosa 58
fructosa 57
fructosa 56
fructosa 61
fructosa 60
fructosa 57
fructosa 58
gluc.fruct 58
gluc.fruct 59
gluc.fruct 58
gluc.fruct 61
gluc.fruct 57
gluc.fruct 56
gluc.fruct 58
gluc.fruct 57
gluc.fruct 57
gluc.fruct 59
sacarosa 62
sacarosa 66
sacarosa 65
sacarosa 63
sacarosa 64
sacarosa 62
sacarosa 65
sacarosa 65
sacarosa 62
sacarosa 67
